ID;Job tenure;Age;Car price;Funding amount;Down payment;Loan duration;Monthly payment;Credit event;Married;Homeowner;Default (y);Pred_default (y_hat);PD;Group
6164;14;52;9000;11220;0;96;0,0768;0;0;0;0;0;0,0819;0
6165;3;29;17980;16314;0;60;0,0414;0;0;0;1;0;0,1322;0
6166;5;71;11054;11054;0;48;0,1814;0;1;0;0;0;0,1780;0
6167;50;67;8950;11018;0;96;0,0721;0;1;0;0;0;0,0631;1
6168;20;39;9990;8664;0;60;0,0738;0;1;0;0;0;0,1506;1
6169;12;76;10993;5800;1;24;0,0758;0;1;1;0;0;0,0996;1
6170;9;34;17990;17990;0;72;0,0945;0;0;0;1;0;0,1520;0
6171;27;54;27500;7500;1;48;0,0376;0;1;1;0;0;0,0237;1
6172;3;36;2897;3140;0;24;0,0868;0;0;0;0;0;0,0976;0
6173;21;58;9900;10408;0;60;0,0783;0;1;1;0;0;0,0769;1
6174;5;49;17045;17558;0;72;0,0787;0;1;0;0;0;0,1012;0
6175;18;52;22890;22890;0;72;0,1164;0;0;1;0;0;0,1336;0
6176;11;64;6990;6121;0;72;0,0423;0;1;1;0;0;0,0300;1
6177;10;72;6806;6806;0;36;0,0838;0;1;1;0;0;0,0708;1
6178;2;40;8770;6876;0;48;0,0924;0;0;0;0;0;0,2276;0
6179;11;43;13990;13990;0;96;0,0627;0;1;1;0;0;0,0709;1
6180;8;26;7970;8709;0;72;0,0714;0;0;0;0;0;0,4960;0
6181;0;43;12900;13065;0;60;0,1004;0;0;0;0;1;0,5514;0
6182;15;60;5825;5825;0;36;0,0725;0;0;0;0;0;0,0931;0
6183;25;61;17525;19012;0;36;0,3161;0;1;1;1;0;0,3219;1
6184;0;24;10645;9700;0;36;0,2487;0;0;0;0;0;0,2244;0
6185;29;47;5990;5615;0;36;0,0922;0;0;0;1;0;0,3179;0
6186;0;49;10750;9362;0;48;0,1464;0;1;0;0;0;0,1218;0
6187;5;24;10985;9866;0;36;0,0797;0;0;0;0;0;0,0706;0
6188;0;39;5990;6681;0;72;0,0708;0;0;0;0;0;0,4175;0
6189;8;26;7777;7777;0;48;0,0778;0;0;0;0;0;0,0342;0
6190;10;66;30970;19970;0;48;0,1050;0;1;1;0;0;0,0807;1
6191;14;38;18000;10785;1;48;0,1105;0;1;1;0;0;0,0114;1
6192;5;43;4517;4872;0;48;0,0779;1;1;0;1;0;0,3846;0
6193;18;35;7500;7000;0;60;0,0978;0;0;1;0;0;0,0848;0
6194;4;51;3810;4211;0;36;0,0463;0;0;0;0;0;0,1753;0
6195;2;32;12000;9000;0;48;0,0836;0;0;0;0;0;0,1215;0
6196;14;43;4990;3913;0;36;0,0551;0;1;1;1;0;0,0662;1
6197;4;36;6500;6500;0;60;0,0445;0;0;0;1;0;0,1749;0
6198;9;33;11105;10990;0;60;0,0487;0;1;1;1;0;0,0137;1
6199;26;48;1700;1743;0;12;0,0529;0;1;0;0;0;0,1736;1
6200;0;37;7475;7475;0;36;0,1792;0;0;0;0;0;0,4390;0
6201;0;38;19480;13619;0;72;0,1167;0;1;1;0;0;0,0296;0
6202;2;38;25200;12700;0;48;0,1482;0;1;1;0;0;0,0080;0
6203;11;75;15990;12990;0;60;0,0707;0;1;1;0;0;0,0266;1
6204;1;36;9690;8936;0;60;0,1051;0;0;0;1;1;0,5723;0
6205;1;46;6409;7476;0;72;0,0605;0;0;0;0;1;0,6635;0
6206;7;39;14390;12465;0;36;0,0346;0;1;1;0;0;0,0181;1
6207;14;50;15600;10703;0;36;0,1414;0;1;1;0;0;0,0063;1
6208;15;79;8500;2675;1;24;0,0725;0;1;1;0;0;0,0222;1
6209;40;59;4990;4990;0;72;0,0339;0;1;0;0;0;0,2320;1
6210;6;55;10680;7680;0;60;0,0580;0;1;1;0;0;0,0152;1
6211;0;53;12100;13781;0;72;0,2137;0;0;0;0;0;0,3219;0
6212;2;64;16990;12990;0;60;0,1664;0;0;1;0;0;0,0430;0
6213;16;43;15724;9440;0;60;0,0426;0;0;0;0;0;0,0771;0
6214;1;46;13900;13038;0;72;0,2256;0;1;1;0;0;0,0623;0
6215;18;51;5364;6160;0;60;0,0753;0;1;0;0;0;0,0778;1
6216;9;68;7500;5900;0;48;0,0648;0;1;1;0;0;0,2124;1
6217;15;48;6850;4684;0;48;0,0495;0;1;1;0;0;0,0115;1
6218;4;40;27500;26500;0;60;0,1832;0;1;1;0;0;0,1188;0
6219;11;41;6390;4000;0;36;0,0678;0;0;0;0;0;0,1430;0
6220;8;54;6990;7277;0;48;0,1113;0;0;1;0;0;0,1195;0
6221;2;32;6500;5988;0;60;0,0617;0;0;0;0;0;0,1781;0
6222;6;27;8500;4000;0;24;0,1740;0;0;0;0;0;0,0490;0
6223;24;51;4761;4761;0;48;0,0334;0;1;1;0;0;0,0436;1
6224;15;50;27590;22906;0;96;0,0940;0;1;0;0;0;0,1095;1
6225;4;54;9586;9586;0;48;0,0983;0;1;1;0;0;0,2073;0
6226;23;40;11900;5900;0;48;0,0663;0;1;1;0;0;0,0683;1
6227;30;47;13690;11690;0;48;0,0940;0;0;1;0;0;0,0740;0
6228;1;46;11950;13092;0;72;0,0638;0;1;0;1;0;0,1962;0
